data_folder,threshold,data_id,seed,pytorch_verified_energy,scipy_reported_energy,energy_difference,scipy_result_file,status
1_data_1000,1e-6,data_4,3,-20777.414017796516,-20777.414017796516,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_4/scipy_3,MATCH
1_data_1000,1e-6,data_4,4,-20719.71374499798,-20719.71374499798,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_4/scipy_4,MATCH
1_data_1000,1e-6,data_4,5,-20760.35801053047,-20760.35801053047,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_4/scipy_5,MATCH
1_data_1000,1e-6,data_5,1,-18778.36580967903,-18778.36580967903,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_5/scipy_1,MATCH
1_data_1000,1e-6,data_5,2,-18802.70713722706,-18802.70713722706,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_5/scipy_2,MATCH
1_data_1000,1e-6,data_5,3,-18866.524180173874,-18866.524180173874,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_5/scipy_3,MATCH
1_data_1000,1e-6,data_5,4,-18948.75238597393,-18948.75238597393,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_5/scipy_4,MATCH
1_data_1000,1e-6,data_5,5,-18834.98102092743,-18834.98102092743,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_5/scipy_5,MATCH
2_data_6000,1e-1,data_1,1,-234652.00209355354,-234652.00209355354,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_1/scipy_1,MATCH
2_data_6000,1e-1,data_1,2,-236900.53748977184,-236900.53748977184,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_1/scipy_2,MATCH
2_data_6000,1e-1,data_1,3,-236289.56723046303,-236289.56723046303,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_1/scipy_3,MATCH
2_data_6000,1e-1,data_1,4,-235722.7930047512,-235722.7930047512,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_1/scipy_4,MATCH
2_data_6000,1e-1,data_1,5,-236099.73370695114,-236099.73370695114,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_1/scipy_5,MATCH
2_data_6000,1e-1,data_2,1,-239810.50348341465,-239810.50348341465,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_2/scipy_1,MATCH
2_data_6000,1e-1,data_2,2,-240082.5224366188,-240082.5224366188,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_2/scipy_2,MATCH
2_data_6000,1e-1,data_2,3,-239389.89753448963,-239389.89753448963,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_2/scipy_3,MATCH
2_data_6000,1e-1,data_2,4,-239918.2047533989,-239918.2047533989,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_2/scipy_4,MATCH
2_data_6000,1e-1,data_2,5,-236603.3272496462,-236603.3272496462,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_2/scipy_5,MATCH
2_data_6000,1e-1,data_3,1,-241804.98571193218,-241804.98571193218,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_3/scipy_1,MATCH
2_data_6000,1e-1,data_3,2,-242656.9913314581,-242656.9913314581,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_3/scipy_2,MATCH
2_data_6000,1e-1,data_3,3,-242936.34169709682,-242936.34169709682,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_3/scipy_3,MATCH
2_data_6000,1e-1,data_3,4,-241776.7396621704,-241776.7396621704,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_3/scipy_4,MATCH
2_data_6000,1e-1,data_3,5,-244839.4274493456,-244839.4274493456,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_3/scipy_5,MATCH
2_data_6000,1e-1,data_4,1,-233997.46941053867,-233997.46941053867,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_4/scipy_1,MATCH
2_data_6000,1e-1,data_4,2,-232348.23517358303,-232348.23517358303,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_4/scipy_2,MATCH
2_data_6000,1e-1,data_4,3,-231975.88870966434,-231975.88870966434,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_4/scipy_3,MATCH
2_data_6000,1e-1,data_4,4,-232310.0872873068,-232310.0872873068,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_4/scipy_4,MATCH
2_data_6000,1e-1,data_4,5,-232104.52358210087,-232104.52358210087,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_4/scipy_5,MATCH
2_data_6000,1e-1,data_5,1,-228846.67725622654,-228846.67725622654,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_5/scipy_1,MATCH
2_data_6000,1e-1,data_5,2,-227908.05890369415,-227908.05890369415,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_5/scipy_2,MATCH
2_data_6000,1e-1,data_5,3,-225835.58600914478,-225835.58600914478,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_5/scipy_3,MATCH
